metric,mean,ci_lo,ci_hi,per_seed
laterality_acc,0.8810256410256411,0.848123428116514,0.9139278539347682,"[0.841, 0.8974, 0.8667, 0.9026, 0.8974]"
kidney_p,0.9463636863143818,0.9271385109129423,0.9655888617158214,"[0.9283, 0.9593, 0.9328, 0.9484, 0.963]"
kidney_r,0.9577235772357724,0.9461035561341992,0.9693435983373456,"[0.9472, 0.9593, 0.9593, 0.9715, 0.9512]"
kidney_f1,0.9519523407487755,0.9397716053885724,0.9641330761089787,"[0.9376, 0.9593, 0.9459, 0.9598, 0.9571]"
size_cls_acc,0.7224669603524229,0.6898763564229903,0.7550575642818554,"[0.696, 0.7401, 0.7401, 0.7445, 0.6916]"
zone_acc,0.7204968944099378,0.6843234758659608,0.7566703129539148,"[0.6894, 0.7329, 0.764, 0.7143, 0.7019]"
full_p,0.5629175898246108,0.5353764857779193,0.5904586938713023,"[0.537, 0.5727, 0.5909, 0.5701, 0.5438]"
full_r,0.3530085959885386,0.331900454636195,0.37411673734088224,"[0.3324, 0.361, 0.3725, 0.361, 0.3381]"
full_f1,0.4339020232004128,0.40979447258612656,0.4580095738146991,"[0.4106, 0.4429, 0.4569, 0.4421, 0.417]"
full_halluc,0.4370824101753893,0.40954130612869777,0.4646235142220808,"[0.463, 0.4273, 0.4091, 0.4299, 0.4562]"
full_omit,0.6469914040114613,0.6258832626591176,0.6680995453638049,"[0.6676, 0.639, 0.6275, 0.639, 0.6619]"
red_p,0.5162381381356713,0.4793274652785181,0.5531488109928245,"[0.4815, 0.5318, 0.55, 0.5294, 0.4885]"
red_r,0.4977973568281938,0.4566821522305007,0.538912561425887,"[0.4581, 0.5154, 0.533, 0.5154, 0.467]"
red_f1,0.5068403645822518,0.4677482188257538,0.5459325103387498,"[0.4695, 0.5235, 0.5414, 0.5223, 0.4775]"
red_halluc,0.4837618618643287,0.4468511890071755,0.5206725347214819,"[0.5185, 0.4682, 0.45, 0.4706, 0.5115]"
red_omit,0.5022026431718062,0.46108743857411305,0.5433178477694993,"[0.5419, 0.4846, 0.467, 0.4846, 0.533]"
roundtrip,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
no_size_pred,30.2,25.12586141398656,35.274138586013436,"[35.0, 26.0, 33.0, 31.0, 26.0]"
