metric,mean,ci_lo,ci_hi,per_seed
laterality_acc,0.875897435897436,0.8571159865225789,0.894678885272293,"[0.8872, 0.8513, 0.8821, 0.8718, 0.8872]"
kidney_p,0.938905279325456,0.9326284502813975,0.9451821083695144,"[0.9373, 0.932, 0.9442, 0.9435, 0.9375]"
kidney_r,0.9617886178861788,0.9463960720258557,0.9771811637465018,"[0.9715, 0.9472, 0.9634, 0.9512, 0.9756]"
kidney_f1,0.9501747998521921,0.9417210595198701,0.9586285401845142,"[0.9541, 0.9395, 0.9537, 0.9474, 0.9562]"
size_cls_acc,0.7365638766519824,0.7247054475667934,0.7484223057371714,"[0.7313, 0.7445, 0.7313, 0.7269, 0.7489]"
zone_acc,0.7279503105590062,0.6937199616374533,0.762180659480559,"[0.7578, 0.6832, 0.7391, 0.7267, 0.7329]"
full_p,0.5765201107953893,0.561293918676646,0.5917463029141327,"[0.5946, 0.5787, 0.5727, 0.576, 0.5605]"
full_r,0.3627507163323782,0.35190095621306744,0.373600476451689,"[0.3782, 0.3582, 0.361, 0.3582, 0.3582]"
full_f1,0.4452931871748044,0.43310780477452504,0.4574785695750837,"[0.4623, 0.4425, 0.4429, 0.4417, 0.4371]"
full_halluc,0.42347988920461077,0.4082536970858675,0.43870608132335404,"[0.4054, 0.4213, 0.4273, 0.424, 0.4395]"
full_omit,0.6372492836676218,0.626399523548311,0.6480990437869326,"[0.6218, 0.6418, 0.639, 0.6418, 0.6418]"
red_p,0.5418866379534686,0.525293920644471,0.5584793552624662,"[0.5631, 0.5463, 0.5364, 0.5346, 0.5291]"
red_r,0.5242290748898679,0.5052808358518236,0.5431773139279122,"[0.5507, 0.5198, 0.5198, 0.511, 0.5198]"
red_f1,0.5328910845619832,0.5156140099695029,0.5501681591544635,"[0.5568, 0.5327, 0.528, 0.5225, 0.5244]"
red_halluc,0.4581133620465314,0.44152064473753383,0.474706079355529,"[0.4369, 0.4537, 0.4636, 0.4654, 0.4709]"
red_omit,0.4757709251101322,0.45682268607208787,0.4947191641481765,"[0.4493, 0.4802, 0.4802, 0.489, 0.4802]"
roundtrip,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
no_size_pred,32.4,30.734132936881323,34.065867063118674,"[33.0, 34.0, 31.0, 31.0, 33.0]"
