config,task,model,input,form,mirror,bag_k,seed,fold,epochs,n_test,best_val,sec,kidney_n,kidney_auc,kidney_acc,kidney_acc_ci_lo,kidney_acc_ci_hi,kidney_bal_acc,kidney_f1,kidney_majority,kidney_degenerate,patient_n,patient_auc,patient_acc,patient_acc_ci_lo,patient_acc_ci_hi,patient_bal_acc,patient_f1,patient_majority,patient_degenerate,kidney_qwk,kidney_auc_macro,pos,thr_lo,thr_hi,n_single,det_val_auc
e1_stone,has_stone,resnet18,stone,mil,on,16,1337,0,40,80,0.9873,314,80.0,0.9827,0.9375,0.8619,0.973,0.9167,0.9307,0.625,False,39.0,,1.0,0.9103,1.0,1.0,1.0,1.0,True,,,,,,,
e1_stone,has_stone,resnet18,stone,mil,on,16,1337,1,40,78,0.9719,215,78.0,0.9733,0.9103,0.8262,0.9558,0.9004,0.9032,0.6282,False,39.0,,0.9744,0.8682,0.9955,0.9744,0.4935,1.0,True,,,,,,,
e1_stone,has_stone,resnet18,stone,mil,on,16,1337,2,40,78,0.998,211,78.0,0.9641,0.9615,0.8929,0.9868,0.9624,0.9591,0.6282,False,39.0,,0.9487,0.8311,0.9858,0.9487,0.4868,1.0,True,,,,,,,
e1_stone,has_stone,resnet18,stone,mil,on,16,1337,3,40,80,0.9887,210,80.0,0.9885,0.9625,0.8955,0.9872,0.9632,0.9597,0.6375,False,39.0,,0.9487,0.8311,0.9858,0.9487,0.4868,1.0,True,,,,,,,
e1_stone,has_stone,resnet18,stone,mil,on,16,1337,4,40,78,0.992,213,78.0,0.9803,0.9615,0.8929,0.9868,0.9624,0.9591,0.6282,False,39.0,,0.9744,0.8682,0.9955,0.9744,0.4935,1.0,True,,,,,,,
e1_mw3,has_stone,resnet18,mw3,mil,on,16,1337,0,40,80,0.9838,306,80.0,0.974,0.9375,0.8619,0.973,0.93,0.9329,0.625,False,39.0,,0.9744,0.8682,0.9955,0.9744,0.4935,1.0,True,,,,,,,
e1_mw3,has_stone,resnet18,mw3,mil,on,16,1337,1,40,78,0.9719,215,78.0,0.9592,0.8846,0.795,0.9381,0.873,0.8756,0.6282,False,39.0,,0.9487,0.8311,0.9858,0.9487,0.4868,1.0,True,,,,,,,
e1_mw3,has_stone,resnet18,mw3,mil,on,16,1337,2,40,78,0.9966,209,78.0,0.9697,0.9359,0.8586,0.9723,0.9208,0.9298,0.6282,False,39.0,,0.9744,0.8682,0.9955,0.9744,0.4935,1.0,True,,,,,,,
e1_mw3,has_stone,resnet18,mw3,mil,on,16,1337,3,40,80,0.9937,213,80.0,0.9621,0.925,0.8459,0.9652,0.9189,0.9189,0.6375,False,39.0,,0.9487,0.8311,0.9858,0.9487,0.4868,1.0,True,,,,,,,
e1_mw3,has_stone,resnet18,mw3,mil,on,16,1337,4,40,78,0.9907,235,78.0,0.9803,0.9615,0.8929,0.9868,0.9624,0.9591,0.6282,False,39.0,,0.9744,0.8682,0.9955,0.9744,0.4935,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,1337,0,40,80,0.9873,275,80.0,0.9827,0.9375,0.8619,0.973,0.9167,0.9307,0.625,False,39.0,,1.0,0.9103,1.0,1.0,1.0,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,1337,1,40,78,0.9719,456,78.0,0.9733,0.9103,0.8262,0.9558,0.9004,0.9032,0.6282,False,39.0,,0.9744,0.8682,0.9955,0.9744,0.4935,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,1337,2,40,78,0.998,230,78.0,0.9641,0.9615,0.8929,0.9868,0.9624,0.9591,0.6282,False,39.0,,0.9487,0.8311,0.9858,0.9487,0.4868,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,1337,3,40,80,0.9887,245,80.0,0.9885,0.9625,0.8955,0.9872,0.9632,0.9597,0.6375,False,39.0,,0.9487,0.8311,0.9858,0.9487,0.4868,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,1337,4,40,78,0.992,249,78.0,0.9803,0.9615,0.8929,0.9868,0.9624,0.9591,0.6282,False,39.0,,0.9744,0.8682,0.9955,0.9744,0.4935,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,2027,0,40,78,0.9592,225,78.0,0.9824,0.9615,0.8929,0.9868,0.9624,0.9591,0.6282,False,39.0,,0.9744,0.8682,0.9955,0.9744,0.4935,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,2027,1,40,78,0.9947,223,78.0,0.962,0.9231,0.8422,0.9643,0.9106,0.9164,0.6282,False,39.0,,0.9487,0.8311,0.9858,0.9487,0.4868,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,2027,2,40,80,0.985,229,80.0,0.9853,0.9125,0.8302,0.957,0.8967,0.9046,0.625,False,39.0,,0.9744,0.8682,0.9955,0.9744,0.4935,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,2027,3,40,78,1.0,228,78.0,0.9757,0.9103,0.8262,0.9558,0.8829,0.898,0.641,False,39.0,,1.0,0.9103,1.0,1.0,1.0,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,2027,4,40,80,0.988,239,80.0,0.988,0.95,0.8784,0.9804,0.9467,0.9467,0.625,False,39.0,,0.9744,0.8682,0.9955,0.9744,0.4935,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,7,0,40,78,0.9833,233,78.0,0.974,0.9744,0.9112,0.9929,0.9726,0.9726,0.6282,False,39.0,,0.9744,0.8682,0.9955,0.9744,0.4935,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,7,1,40,80,0.9979,237,80.0,0.9747,0.95,0.8784,0.9804,0.9533,0.9473,0.625,False,39.0,,0.9487,0.8311,0.9858,0.9487,0.4868,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,7,2,40,78,0.9936,241,78.0,0.9951,0.9487,0.8754,0.9799,0.931,0.9434,0.6282,False,39.0,,1.0,0.9103,1.0,1.0,1.0,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,7,3,40,78,0.9767,232,78.0,0.9714,0.9231,0.8422,0.9643,0.94,0.9197,0.641,False,39.0,,0.9231,0.7968,0.9735,0.9231,0.48,1.0,True,,,,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,16,7,4,40,80,0.9789,227,80.0,0.9553,0.925,0.8459,0.9652,0.9267,0.921,0.625,False,39.0,,0.9231,0.7968,0.9735,0.9231,0.48,1.0,True,,,,,,,
