config,task,model,input,form,mirror,pos,bag_k,n_runs,kidney_auc,kidney_auc_ci,kidney_acc,kidney_acc_ci,kidney_bal_acc,kidney_bal_acc_ci,kidney_f1,kidney_f1_ci,patient_acc,patient_acc_ci,baseline_acc,delta_vs_baseline,paired_t_p,wilcoxon_p,degenerate_runs,kidney_qwk,kidney_qwk_ci,kidney_auc_macro,kidney_auc_macro_ci
e1_mw3,has_stone,resnet18,mw3,mil,on,,16,5,0.9691,"[0.9584, 0.9798]",0.9289,"[0.8940, 0.9638]",0.921,"[0.8813, 0.9608]",0.9233,"[0.8854, 0.9611]",0.9641,"[0.9466, 0.9816]",0.6294,0.2995,2.10e-05,6.25e-02,0,,,,
e1_stone,has_stone,resnet18,stone,mil,on,,16,5,0.9778,"[0.9661, 0.9894]",0.9467,"[0.9182, 0.9751]",0.941,"[0.9035, 0.9785]",0.9424,"[0.9111, 0.9736]",0.9692,"[0.9426, 0.9959]",0.6294,0.3172,4.95e-06,6.25e-02,0,,,,
e3_hs_resnet18,has_stone,resnet18,stone,mil,on,,16,25,0.9723,"[0.9639, 0.9807]",0.9406,"[0.9286, 0.9525]",0.9355,"[0.9221, 0.9490]",0.936,"[0.9232, 0.9488]",0.9651,"[0.9505, 0.9798]",0.6295,0.3111,4.26e-26,1.21e-05,0,,,,
e3_hs_sst,has_stone,sst,stone,mil,on,,16,25,0.983,"[0.9790, 0.9870]",0.9416,"[0.9295, 0.9537]",0.9315,"[0.9161, 0.9468]",0.9361,"[0.9226, 0.9497]",0.9805,"[0.9703, 0.9908]",0.6295,0.3121,4.73e-26,1.21e-05,0,,,,
e3_size_resnet18,size3,resnet18,stone,mil,on,,16,25,,,0.7356,"[0.7111, 0.7601]",0.6883,"[0.6573, 0.7193]",0.6869,"[0.6550, 0.7189]",,,0.4185,0.3171,2.53e-19,1.23e-05,0,0.7039,"[0.6587, 0.7491]",,
e3_size_sst,size3,sst,stone,mil,on,,16,25,,,0.7554,"[0.7323, 0.7785]",0.7157,"[0.6889, 0.7425]",0.7149,"[0.6890, 0.7409]",,,0.4185,0.3369,3.21e-21,1.22e-05,0,0.729,"[0.6922, 0.7657]",,
e4_zone_resnet18,zone,resnet18,stone,mil,on,,16,25,,,0.179,"[0.1426, 0.2154]",,,0.4356,"[0.4040, 0.4672]",,,,,,,0,,,0.5532,"[0.5275, 0.5789]"
e4_zone_sst,zone,sst,stone,mil,on,,16,13,,,0.2239,"[0.1881, 0.2597]",,,0.4521,"[0.3874, 0.5167]",,,,,,,0,,,0.5635,"[0.5098, 0.6172]"
e5_zonepos_resnet18,zone,resnet18,stone,mil,on,on,16,25,,,0.2192,"[0.1819, 0.2564]",,,0.4597,"[0.4323, 0.4872]",,,,,,,0,,,0.5753,"[0.5465, 0.6041]"
e5_zonepos_sst,zone,sst,stone,mil,on,on,16,25,,,0.1995,"[0.1586, 0.2404]",,,0.4385,"[0.3937, 0.4833]",,,,,,,0,,,0.5158,"[0.4794, 0.5523]"
e6_zonecor_resnet18,zone,resnet18,cor,mil,on,off,16,5,,,0.2896,"[0.1791, 0.4000]",,,0.5104,"[0.4298, 0.5909]",,,,,,,0,,,0.6005,"[0.5301, 0.6709]"
e6_zonecor_sst,zone,sst,cor,mil,on,off,16,5,,,0.2404,"[0.1620, 0.3188]",,,0.4643,"[0.3360, 0.5927]",,,,,,,0,,,0.5839,"[0.4794, 0.6884]"
e7_2stage_resnet18,zone,resnet18,stone,two_stage,on,off,16,25,,,0.6963,"[0.6725, 0.7201]",,,0.1603,"[0.1361, 0.1845]",,,0.5198,0.1765,8.27e-09,2.67e-05,0,,,0.7671,"[0.7448, 0.7893]"
e7_2stage_sst,zone,sst,stone,two_stage,on,off,16,25,,,0.7212,"[0.6980, 0.7444]",,,0.1558,"[0.1319, 0.1798]",,,0.5198,0.2014,1.09e-11,1.23e-05,0,,,0.7818,"[0.7589, 0.8046]"
e8_size_axcor,size3,sst,axcor,mil,on,off,16,5,,,0.7298,"[0.6541, 0.8055]",0.6489,"[0.5811, 0.7167]",0.6387,"[0.5577, 0.7198]",,,0.415,0.3148,1.66e-04,6.25e-02,0,0.6653,"[0.5373, 0.7933]",,
e8_size_cor,size3,sst,cor,mil,on,off,16,5,,,0.6404,"[0.4348, 0.8460]",0.5606,"[0.3901, 0.7311]",0.5311,"[0.3493, 0.7129]",,,0.415,0.2254,3.46e-02,1.25e-01,0,0.5687,"[0.3748, 0.7627]",,
e9_2stage_resnet18,zone,resnet18,stone,two_stage,on,off,16,25,,,0.6939,"[0.6751, 0.7127]",,,0.1608,"[0.1375, 0.1841]",,,0.5172,0.1767,4.72e-11,1.82e-05,0,,,0.7764,"[0.7565, 0.7963]"
e9_2stage_sst,zone,sst,stone,two_stage,on,off,16,25,,,0.6941,"[0.6703, 0.7178]",,,0.1596,"[0.1380, 0.1811]",,,0.5172,0.1769,3.26e-09,2.25e-05,0,,,0.777,"[0.7510, 0.8030]"
e9_hs_resnet18,has_stone,resnet18,stone,mil,on,off,16,25,0.9784,"[0.9716, 0.9851]",0.939,"[0.9261, 0.9519]",0.9324,"[0.9157, 0.9491]",0.9336,"[0.9190, 0.9483]",0.9754,"[0.9660, 0.9848]",0.6308,0.3082,1.27e-25,1.16e-05,0,,,,
e9_hs_sst,has_stone,sst,stone,mil,on,off,16,25,0.9801,"[0.9745, 0.9858]",0.9364,"[0.9218, 0.9510]",0.9276,"[0.9096, 0.9456]",0.9306,"[0.9143, 0.9469]",0.9754,"[0.9634, 0.9874]",0.6308,0.3056,1.74e-24,1.18e-05,0,,,,
e9_size_resnet18,size3,resnet18,stone,mil,on,off,16,25,,,0.7405,"[0.7184, 0.7625]",0.6979,"[0.6715, 0.7243]",0.699,"[0.6710, 0.7270]",,,0.4186,0.3219,6.23e-21,1.23e-05,0,0.6981,"[0.6490, 0.7472]",,
e9_size_sst,size3,sst,stone,mil,on,off,16,25,,,0.7523,"[0.7251, 0.7795]",0.7124,"[0.6842, 0.7406]",0.7126,"[0.6814, 0.7438]",,,0.4186,0.3337,3.30e-19,1.23e-05,0,0.726,"[0.6922, 0.7598]",,
fig_ckpt,has_stone,resnet18,stone,mil,on,off,16,1,0.9827,"[0.9827, 0.9827]",0.9375,"[0.9375, 0.9375]",0.9167,"[0.9167, 0.9167]",0.9307,"[0.9307, 0.9307]",1.0,"[1.0000, 1.0000]",,,,,0,,,,
